SampleID,Env
ERR4281055,12M(C)
ERR4281016,3Y(C)
ERR4281054,4M(C)
ERR4281017,5Y(C)
ERR4281061,B(C)
ERR4281018,M(C)
ERR4281060,M(C)
ERR4281019,4M(C)
ERR4281062,M(C)
ERR4281020,12M(C)
ERR4281063,3Y(C)
ERR4281021,4M(C)
ERR4281064,5Y(C)
ERR4281022,B(C)
ERR4281065,M(C)
ERR4281023,12M(C)
ERR4281066,3Y(C)
ERR4281024,4M(C)
ERR4281067,5Y(C)
ERR4281025,B(C)
ERR4281068,M(C)
ERR4281026,12M(C)
ERR4281069,4M(C)
ERR4281027,5Y(C)
ERR4281070,B(C)
ERR4281028,M(C)
ERR4281071,12M(C)
ERR4281029,3Y(C)
ERR4281072,4M(C)
ERR4281030,5Y(C)
ERR4281073,B(C)
ERR4281031,M(C)
ERR4281074,12M(C)
ERR4281032,4M(C)
ERR4281075,B(C)
ERR4281033,M(C)
ERR4281076,12M(C)
ERR4281034,3Y(C)
ERR4281077,4M(C)
ERR4281035,5Y(C)
ERR4281078,B(C)
ERR4281036,M(C)
ERR4281079,12M(V)
ERR4281037,12M(C)
ERR4281080,4M(C)
ERR4281038,B(C)
ERR4281081,M(C)
ERR4281039,12M(C)
ERR4281082,3Y(C)
ERR4281040,4M(C)
ERR4281083,5Y(C)
ERR4281041,B(C)
ERR4281084,M(C)
ERR4281042,12M(C)
ERR4281085,3Y(C)
ERR4281043,5Y(C)
ERR4281086,12M(V)
ERR4281044,3Y(V)
ERR4281087,12M(C)
ERR4281045,3Y(C)
ERR4281088,4M(C)
ERR4281046,5Y(C)
ERR4281089,B(C)
ERR4281047,4M(V)
ERR4281090,M(C)
ERR4281048,12M(C)
ERR4281091,3Y(C)
ERR4281049,4M(C)
ERR4281092,5Y(C)
ERR4281050,B(C)
ERR4281093,M(C)
ERR4281051,5Y(V)
ERR4281094,12M(C)
ERR4281052,3Y(C)
ERR4281095,4M(C)
ERR4281053,5Y(C)
ERR4281056,B(C)
ERR4281096,M(C)
ERR4281057,M(V)
ERR4281097,12M(C)
ERR4281058,3Y(C)
ERR4281059,4M(C)
ERR4281098,B(C)
ERR4281099,M(C)
ERR4281100,12M(C)
ERR4281101,12M(C)
ERR4281102,3Y(C)
ERR4281103,4M(C)
ERR4281104,5Y(C)
ERR4281105,B(C)
ERR4281106,M(C)
ERR4281107,3Y(C)
ERR4281108,4M(C)
ERR4281109,3Y(C)
ERR4281110,4M(C)
ERR4281111,B(C)
ERR4281112,M(C)
ERR4281113,3Y(V)
ERR4281114,12M(V)
ERR4281115,12M(C)
ERR4281116,3Y(C)
ERR4281117,4M(C)
ERR4281118,5Y(C)
ERR4281119,M(C)
ERR4281120,12M(C)
ERR4281121,3Y(C)
ERR4281122,4M(C)
ERR4281123,5Y(C)
ERR4281124,B(C)
ERR4281125,M(C)
ERR4281126,3Y(V)
ERR4281127,4M(V)
ERR4281128,12M(C)
ERR4281129,3Y(C)
ERR4281130,4M(C)
ERR4281131,5Y(C)
ERR4281132,B(C)
ERR4281133,M(C)
ERR4281134,5Y(V)
ERR4281135,4M(C)
ERR4281136,4M(V)
ERR4281137,12M(C)
ERR4281138,4M(C)
ERR4281139,5Y(C)
ERR4281140,B(C)
ERR4281141,M(C)
ERR4281142,12M(C)
ERR4281143,12M(V)
ERR4281144,3Y(C)
ERR4281145,4M(C)
ERR4281146,B(C)
ERR4281147,M(C)
ERR4281148,3Y(V)
ERR4281149,12M(C)
ERR4281150,3Y(C)
ERR4281151,4M(C)
ERR4281152,5Y(C)
