#SampleID,mean,std
g__Abarenicola,5.795876e-07,0.00014801617
g__Abedinium,2.2481783e-05,0.0007172929
g__Abeoforma,4.5922266e-06,0.00021873096
g__Aberranta,3.1954477e-09,1.0375157e-06
g__Abies,4.417655e-08,1.4323738e-05
g__Abiotrophia,0.0011143441,0.009953664
g__Ablabesmyia,4.815982e-07,9.04907e-05
g__Abolboda,3.5611065e-09,1.8273092e-06
g__Abollifer,1.279621e-06,8.293862e-05
g__Abraliopsis,4.7970845e-09,2.461526e-06
g__Absidia,8.698733e-06,0.0004224315
g__Abyssicoccus,1.00529775e-07,3.3234395e-05
g__Abyssivirga,2.736747e-07,0.00013920724
g__Acanthamoeba,0.00031926643,0.010927153
g__Acanthephyra,9.7232705e-06,0.001462606
g__Acanthiella,1.1160747e-09,4.144963e-07
g__Acanthobdella,1.5765547e-09,8.089769e-07
g__Acanthobothrium,2.8506584e-09,7.5580346e-07
g__Acanthocephalus,5.5030135e-08,1.06464995e-05
g__Acanthoceras,2.2842272e-07,9.165816e-05
g__Acanthochiasma,7.4931563e-06,0.00045447037
g__Acanthocolla,1.0864006e-06,0.00012635556
g__Acanthocorbis,8.393954e-09,1.7527514e-06
g__Acanthocyclops,4.661654e-09,1.6914257e-06
g__Acanthocyrta,1.3447326e-05,0.001369974
g__Acanthodasys,3.1472257e-07,7.9768666e-05
g__Acanthoeca,3.7857223e-08,6.227159e-06
g__Acantholeberis,2.6390094e-08,1.0777626e-05
g__Acantholichen,3.6536285e-08,4.427063e-06
g__Acanthomacrostomum,3.4407115e-08,7.409711e-06
g__Acanthometra,2.129977e-06,0.0003939523
g__Acanthometron,1.5043312e-08,7.0111696e-06
g__Acanthopharynx,1.9177191e-06,0.0008218018
g__Acanthopleuribacter,7.2390656e-05,0.0021539994
g__Acanthoptilum,5.106338e-09,1.5243725e-06
g__Acanthostaurus,6.3298673e-09,3.2480423e-06
g__Acanthostigma,2.800999e-09,8.28332e-07
g__Acaricomes,3.2466008e-07,4.7727644e-05
g__Acaromyces,6.1669006e-08,1.2468299e-05
g__Acarospora,4.0440438e-09,1.7922316e-06
g__Acarothrix,1.1583256e-05,0.0015808312
